"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Gene_Symbol"
"217197_x_at",-0.215147060771639,7.29155653504673,-4.37390113577615,2.81447295652499e-05,0.000107374008424519,1.44053210726482,"Not Significant","N4BP2L1"
"205483_s_at",0.764550363315974,10.0008718283084,4.37389917060448,2.8144944903445e-05,0.000107374008424519,1.44052476401264,"Not Significant","ISG15"
"212587_s_at",-0.655064966861365,8.9995765438972,-4.37389189062056,2.81457426382272e-05,0.000107374008424519,1.44049756093455,"Not Significant","PTPRC"
"219051_x_at",0.370285781510907,7.13103497130841,4.37336233120531,2.82038298168966e-05,0.000107577189286187,1.43851884388992,"Not Significant","METRN"
"217730_at",-0.386727273961999,9.69792925462617,-4.37288126759522,2.82566976463644e-05,0.00010776039597021,1.43672147824919,"Not Significant","TMBIM1"
"209199_s_at",-0.455498253511962,9.03175525127103,-4.3718301185459,2.83725491621701e-05,0.000108183694897439,1.43279462162615,"Not Significant","MEF2C"
"217053_x_at",-0.213780292006333,7.12280328109346,-4.37172229459215,2.83844587428607e-05,0.000108210589250157,1.43239185288696,"Not Significant","ETV1"
"217166_at",0.194975874533778,6.3339520616729,4.3713755629299,2.84227892875478e-05,0.000108338182294634,1.43109670840606,"Not Significant",NA
"206610_s_at",-0.22005396618684,6.70763282705607,-4.37111157314464,2.84520063145871e-05,0.00010843099995005,1.43011067726793,"Not Significant","F11"
"208316_s_at",0.192645899568262,8.14345184758879,4.37094709824197,2.8470224180051e-05,0.000108481875069097,1.42949636630896,"Not Significant","OCRL"
"206631_at",-0.274243454467628,6.07729848488785,-4.37055375615652,2.85138378463019e-05,0.000108629483455145,1.42802730586906,"Not Significant","PTGER2"
"35147_at",-0.319231049600633,8.97353363251402,-4.36998987161844,2.85764735471394e-05,0.0001088494974446,1.42592146195694,"Not Significant","MCF2L"
"204447_at",0.291313221197396,7.40311435827103,4.3697704127269,2.86008866373711e-05,0.000108923868901135,1.42510193743549,"Not Significant","LZTS3"
"201470_at",-0.316723455316679,10.6430740930654,-4.36958238635939,2.86218190907248e-05,0.000108984961517194,1.42439981416609,"Not Significant","GSTO1"
"217097_s_at",0.234971261623504,6.65488527396262,4.36641119211003,2.89770915728198e-05,0.000110318901677284,1.41256120552659,"Not Significant","PHTF2"
"217770_at",0.364178120379309,9.5413901464486,4.36593348242025,2.90309768725832e-05,0.000110505168714003,1.41077835500732,"Not Significant","PIGT"
"211749_s_at",-0.329864333331105,9.94976917351402,-4.36498491923599,2.91382604675797e-05,0.000110894595729988,1.40723864648754,"Not Significant","VAMP3"
"214359_s_at",0.445686728770231,10.2652738743645,4.36467451944859,2.91734499314703e-05,0.000110998090204693,1.40608045913118,"Not Significant","HSP90AB1"
"201488_x_at",0.268661976857494,10.5737987485327,4.36465718000932,2.91754168796342e-05,0.000110998090204693,1.40601576259327,"Not Significant","KHDRBS1"
"211597_s_at",-0.790504274945107,11.3859180656168,-4.36344958391937,2.93127187594174e-05,0.000111501418934124,1.40151044897393,"Not Significant","HOPX"
"202816_s_at",0.503888949908163,6.2453769118972,4.36314997062592,2.93468806273354e-05,0.000111612312855251,1.40039278332508,"Not Significant","SS18"
"209524_at",-0.549773522222378,7.90210136641122,-4.36299132524326,2.93649848842694e-05,0.000111662108903784,1.39980100058553,"Not Significant","HDGFL3"
"210112_at",0.172197624880014,7.34350520917757,4.36060578020953,2.96385189921865e-05,0.000112683009503991,1.39090420118874,"Not Significant","HPS1"
"211622_s_at",0.18834492863969,9.17578343559813,4.36011691395672,2.96948762547758e-05,0.000112878015623536,1.38908141385173,"Not Significant","ARF3"
"201136_at",0.378498069692469,10.3576423301682,4.35997647510071,2.97110853472706e-05,0.000112920367524003,1.38855779982169,"Not Significant","PLP2"
"207590_s_at",0.218303815157283,5.92852337780374,4.35942365474001,2.9774973322059e-05,0.000113143883106317,1.38649677209569,"Not Significant","CENPI"
"208704_x_at",-0.352928287667136,12.0725759993458,-4.35926334754804,2.97935243404016e-05,0.000113195072954334,1.38589914823705,"Not Significant","APLP2"
"202680_at",0.343402470055946,8.16638143728972,4.35920367026927,2.98004331397537e-05,0.000113202020397738,1.38567667577804,"Not Significant","GTF2E2"
"212048_s_at",0.276736540019001,9.74224194650467,4.35741362161378,3.00083849479385e-05,0.000113972531412121,1.37900449947384,"Not Significant","YARS1"
"206445_s_at",0.370754594999296,9.80087708791589,4.3573081672892,3.0020679196297e-05,0.000113999794569033,1.37861149192865,"Not Significant","PRMT1"
"200706_s_at",-0.36214572481879,10.3051742602991,-4.35699528700647,3.00571844825136e-05,0.000114118971174621,1.37744548782552,"Not Significant","LITAF"
"204993_at",-0.176716633477832,6.52556913616822,-4.35690911377835,3.00672462476863e-05,0.000114137725406677,1.37712435824837,"Not Significant","GNAZ"
"202884_s_at",0.241084442625264,7.04961020473832,4.35516392923894,3.02717173567443e-05,0.000114894341314995,1.37062178400131,"Not Significant","PPP2R1B"
"218494_s_at",0.342237454148839,8.54458555507477,4.35507525683505,3.02821421678951e-05,0.000114914334796867,1.37029143853089,"Not Significant","SLC2A4RG"
"213022_s_at",-0.36445951399261,8.22182493471963,-4.35481388043014,3.03128911305562e-05,0.000115009956788655,1.3693177186937,"Not Significant","UTRN"
"213982_s_at",-0.348123006386699,8.05080336633645,-4.3547433143767,3.03211978500863e-05,0.000115009956788655,1.36905484213386,"Not Significant","RABGAP1L"
"201505_at",-0.665088628227656,8.07069326705608,-4.35472949891282,3.03228244012631e-05,0.000115009956788655,1.36900337635433,"Not Significant","LAMB1"
"220240_s_at",0.29752227118684,7.27514656027103,4.35451994768112,3.03475060364794e-05,0.000115083981792184,1.36822276387099,"Not Significant","SLC9D1"
